"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Acer\u_teen\lib\models\order_model.dart", "Dart", 24, 1, 2, 27
"c:\Users\Acer\u_teen\lib\providers\order_provider.dart", "Dart", 41, 0, 1, 42
"c:\Users\Acer\u_teen\lib\providers\ratings_provider.dart", "Dart", 29, 3, 5, 37
"c:\Users\Acer\u_teen\lib\screens\customer\my_orders_screen.dart", "Dart", -161, 1, -7, -167
"c:\Users\Acer\u_teen\lib\screens\customer\payment_screen.dart", "Dart", -53, 0, -1, -54
"c:\Users\Acer\u_teen\lib\screens\seller\cancellation_screen.dart", "Dart", 5, 0, 0, 5
"c:\Users\Acer\u_teen\lib\screens\seller\completed_screen.dart", "Dart", 5, 0, 0, 5
"c:\Users\Acer\u_teen\lib\screens\seller\on_process_screen.dart", "Dart", 39, 6, 5, 50
"c:\Users\Acer\u_teen\lib\widgets\order_card.dart", "Dart", 259, 8, 15, 282
"Total", "-", 188, 19, 20, 227
