"filename", "language", "YAML", "Dart", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\Acer\u_teen\assets\animation\empty_payment.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Acer\u_teen\assets\animation\withdrawal.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Acer\u_teen\backend\package-lock.json", "JSON", 0, 0, 0, 862, 0, 1, 863
"c:\Users\Acer\u_teen\backend\package.json", "JSON", 0, 0, 0, 17, 0, 1, 18
"c:\Users\Acer\u_teen\backend\server.js", "JavaScript", 0, 0, 78, 0, 12, 16, 106
"c:\Users\Acer\u_teen\lib\models\balance_model.dart", "Dart", 0, 6, 0, 0, 0, 1, 7
"c:\Users\Acer\u_teen\lib\models\order_model.dart", "Dart", 0, 66, 0, 0, -1, 0, 65
"c:\Users\Acer\u_teen\lib\providers\balance_provider.dart", "Dart", 0, 21, 0, 0, 1, 3, 25
"c:\Users\Acer\u_teen\lib\providers\order_provider.dart", "Dart", 0, -1, 0, 0, -8, 5, -4
"c:\Users\Acer\u_teen\lib\repositories\order_repository.dart", "Dart", 0, 12, 0, 0, 0, 1, 13
"c:\Users\Acer\u_teen\lib\screens\customer\payment_screen.dart", "Dart", 0, 54, 0, 0, -4, 1, 51
"c:\Users\Acer\u_teen\lib\screens\seller\my_balance_screen.dart", "Dart", 0, 47, 0, 0, -4, 0, 43
"c:\Users\Acer\u_teen\lib\services\payment_service.dart", "Dart", 0, 122, 0, 0, 0, 10, 132
"c:\Users\Acer\u_teen\lib\widgets\order_card.dart", "Dart", 0, 21, 0, 0, -21, -5, -5
"c:\Users\Acer\u_teen\lib\widgets\payment_method_card.dart", "Dart", 0, 0, 0, 0, -2, -1, -3
"c:\Users\Acer\u_teen\pubspec.yaml", "YAML", 3, 0, 0, 0, -1, -8, -6
"Total", "-", 3, 348, 78, 881, -28, 25, 1307
