"filename", "language", "YAML", "JSON", "Dart", "JavaScript", "comment", "blank", "total"
"c:\Users\Acer\u_teen\backend\package-lock.json", "JSON", 0, -862, 0, 0, 0, -1, -863
"c:\Users\Acer\u_teen\backend\package.json", "JSON", 0, -17, 0, 0, 0, -1, -18
"c:\Users\Acer\u_teen\backend\server.js", "JavaScript", 0, 0, 0, -78, -12, -16, -106
"c:\Users\Acer\u_teen\lib\models\balance_model.dart", "Dart", 0, 0, -6, 0, 0, -1, -7
"c:\Users\Acer\u_teen\lib\models\order_model.dart", "Dart", 0, 0, -66, 0, 1, 0, -65
"c:\Users\Acer\u_teen\lib\providers\balance_provider.dart", "Dart", 0, 0, -21, 0, -1, -3, -25
"c:\Users\Acer\u_teen\lib\providers\order_provider.dart", "Dart", 0, 0, 1, 0, 8, -5, 4
"c:\Users\Acer\u_teen\lib\repositories\order_repository.dart", "Dart", 0, 0, -12, 0, 0, -1, -13
"c:\Users\Acer\u_teen\lib\screens\customer\payment_screen.dart", "Dart", 0, 0, -54, 0, 4, -1, -51
"c:\Users\Acer\u_teen\lib\screens\seller\my_balance_screen.dart", "Dart", 0, 0, -51, 0, 4, 0, -47
"c:\Users\Acer\u_teen\lib\services\payment_service.dart", "Dart", 0, 0, -122, 0, 0, -10, -132
"c:\Users\Acer\u_teen\lib\widgets\customer\custom_bottom_navigation.dart", "Dart", 0, 0, 36, 0, 0, 6, 42
"c:\Users\Acer\u_teen\lib\widgets\order_card.dart", "Dart", 0, 0, 7, 0, 21, 10, 38
"c:\Users\Acer\u_teen\lib\widgets\payment_method_card.dart", "Dart", 0, 0, 0, 0, 2, 1, 3
"c:\Users\Acer\u_teen\lib\widgets\seller\seller_custom_bottom_navigation.dart", "Dart", 0, 0, 21, 0, 0, 2, 23
"c:\Users\Acer\u_teen\package-lock.json", "JSON", 0, 862, 0, 0, 0, 1, 863
"c:\Users\Acer\u_teen\package.json", "JSON", 0, 28, 0, 0, 0, 1, 29
"c:\Users\Acer\u_teen\pubspec.yaml", "YAML", -3, 0, 0, 0, 1, 8, 6
"Total", "-", -3, 11, -267, -78, 28, -10, -319
