"filename", "language", "YAML", "Dart", "JSON", "comment", "blank", "total"
"c:\Users\Acer\u_teen\assets\animation\empty_notification.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\Acer\u_teen\lib\main.dart", "Dart", 0, 6, 0, -6, -3, -3
"c:\Users\Acer\u_teen\lib\models\notification_model.dart", "Dart", 0, 96, 0, 1, 8, 105
"c:\Users\Acer\u_teen\lib\models\order_model.dart", "Dart", 0, 2, 0, 0, 0, 2
"c:\Users\Acer\u_teen\lib\providers\notification_provider.dart", "Dart", 0, 100, 0, 1, 12, 113
"c:\Users\Acer\u_teen\lib\providers\order_provider.dart", "Dart", 0, 7, 0, 0, 0, 7
"c:\Users\Acer\u_teen\lib\screens\customer\home_screen.dart", "Dart", 0, 34, 0, -3, -4, 27
"c:\Users\Acer\u_teen\lib\screens\customer\my_orders_screen.dart", "Dart", 0, 5, 0, -3, 0, 2
"c:\Users\Acer\u_teen\lib\screens\customer\notification_screen.dart", "Dart", 0, 186, 0, 2, 7, 195
"c:\Users\Acer\u_teen\lib\screens\customer\payment_screen.dart", "Dart", 0, -32, 0, -4, -4, -40
"c:\Users\Acer\u_teen\lib\widgets\time_picker_widget.dart", "Dart", 0, 4, 0, 2, 0, 6
"c:\Users\Acer\u_teen\pubspec.yaml", "YAML", 1, 0, 0, 0, 0, 1
"Total", "-", 1, 408, 1, -10, 16, 416
