"filename", "language", "CMake", "Dart", "comment", "blank", "total"
"c:\Users\Acer\u_teen\lib\screens\customer\my_orders_screen.dart", "Dart", 0, 21, 0, 0, 21
"c:\Users\Acer\u_teen\lib\screens\customer\notification_screen.dart", "Dart", 0, -27, 0, 0, -27
"c:\Users\Acer\u_teen\lib\screens\customer\profile_screen.dart", "Dart", 0, 5, 1, 1, 7
"c:\Users\Acer\u_teen\lib\screens\customer\shopping_cart_screen.dart", "Dart", 0, 11, 0, 0, 11
"c:\Users\Acer\u_teen\lib\screens\seller\my_balance_screen.dart", "Dart", 0, -254, 0, -3, -257
"c:\Users\Acer\u_teen\lib\utils\formatters.dart", "Dart", 0, 9, 0, 2, 11
"c:\Users\Acer\u_teen\lib\utils\thousand_separator_formatter.dart", "Dart", 0, 32, 4, 7, 43
"c:\Users\Acer\u_teen\lib\widgets\seller\status_button.dart", "Dart", 0, -72, 0, -3, -75
"c:\Users\Acer\u_teen\lib\widgets\status_button.dart", "Dart", 0, 72, 0, 3, 75
"c:\Users\Acer\u_teen\lib\widgets\withdraw\quick_amount_button.dart", "Dart", 0, 30, 0, 3, 33
"c:\Users\Acer\u_teen\lib\widgets\withdraw\withdrawal_dialog.dart", "Dart", 0, 279, 0, 7, 286
"c:\Users\Acer\u_teen\linux\CMakeLists.txt", "CMake", 104, 0, 0, 25, 129
"c:\Users\Acer\u_teen\linux\flutter\CMakeLists.txt", "CMake", 79, 0, 0, 10, 89
"c:\Users\Acer\u_teen\linux\flutter\generated_plugins.cmake", "CMake", 19, 0, 0, 6, 25
"c:\Users\Acer\u_teen\linux\runner\CMakeLists.txt", "CMake", 21, 0, 0, 6, 27
"c:\Users\Acer\u_teen\windows\CMakeLists.txt", "CMake", 89, 0, 0, 20, 109
"c:\Users\Acer\u_teen\windows\flutter\CMakeLists.txt", "CMake", 98, 0, 0, 12, 110
"c:\Users\Acer\u_teen\windows\flutter\generated_plugins.cmake", "CMake", 19, 0, 0, 6, 25
"c:\Users\Acer\u_teen\windows\runner\CMakeLists.txt", "CMake", 34, 0, 0, 7, 41
"Total", "-", 463, 106, 5, 109, 683
