"filename", "language", "C++", "CMake", "Markdown", "YAML", "Dart", "JSON", "Swift", "Java Properties", "Gradle", "comment", "blank", "total"
"c:\Users\Acer\u_teen\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\Acer\u_teen\U-Teen Application Documentation.markdown", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Acer\u_teen\android\app\google-services.json", "JSON", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 29
"c:\Users\Acer\u_teen\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, -1, 1
"c:\Users\Acer\u_teen\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 4, 27
"c:\Users\Acer\u_teen\firebase.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Acer\u_teen\lib\auth\auth_provider.dart", "Dart", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Acer\u_teen\lib\auth\auth_service.dart", "Dart", 0, 0, 0, 0, -7, 0, 0, 0, 0, 2, 1, -4
"c:\Users\Acer\u_teen\lib\firebase_options.dart", "Dart", 0, 0, 0, 0, 53, 0, 0, 0, 0, 12, 3, 68
"c:\Users\Acer\u_teen\lib\main.dart", "Dart", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 1, 7
"c:\Users\Acer\u_teen\lib\screens\login_screen.dart", "Dart", 0, 0, 0, 0, -7, 0, 0, 0, 0, -1, -1, -9
"c:\Users\Acer\u_teen\lib\screens\seller\home_screen.dart", "Dart", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 2, 39
"c:\Users\Acer\u_teen\lib\screens\seller\my_product_screen.dart", "Dart", 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Acer\u_teen\lib\utils\app_theme.dart", "Dart", 0, 0, 0, 0, 3, 0, 0, 0, 0, -3, 1, 1
"c:\Users\Acer\u_teen\lib\widgets\seller\calendar_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -1, -4
"c:\Users\Acer\u_teen\lib\widgets\seller\product_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, -5
"c:\Users\Acer\u_teen\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 8
"c:\Users\Acer\u_teen\pubspec.yaml", "YAML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 1, 6
"c:\Users\Acer\u_teen\windows\flutter\generated_plugin_registrant.cc", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\Acer\u_teen\windows\flutter\generated_plugins.cmake", "CMake", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"Total", "-", 9, 3, 13, 4, 84, 30, 8, 2, 23, 4, 18, 198
